Family,Collection,treatment,individual,sex,stripe1,stripe2,orange_total,elytrasize,DBL_2stripe,Meanref_2stripe,DBL_black,logDBL_black,Meanref_black,logref_black,DBL_1stripe,Meanref_1stripe,bodysize_mg,eclosionfluid, ,firststripe_prop,secondstripe_prop
40116,F34,control,17,male,13.96,4.61,18.57,49.8,8448.54,5683.0225,1578.86,3.198343622,1436.415,3.157279932,9327.86,6316.4725,178.1,12.7,0.372891566,0.280321285,0.092570281
40124,F34,control,1,female,16.62,8.32,24.94,62.27,9389.568,6266.1915,1517.204,3.181043979,1385.20575,3.141514286,9054.283,5997.79175,176.8,24.8,0.400513891,0.2669022,0.133611691
40124,F34,control,4,female,14.54,5.63,20.17,48.37,9051.133,5888.18375,1519.022,3.181564064,1348.54,3.129863833,11476.146,7509.84375,142.1,27.1,0.416994005,0.300599545,0.116394459
40124,F34,control,6,male,22.08,9.9,31.98,61.77,8377.75,5599.59025,1715.515,3.23439452,1526.05225,3.183569404,9075.747,6150.9895,193.7,10.5,0.517727052,0.357455075,0.160271977
40124,F34,control,7,male,19.46,10.62,30.08,58.13,9547.135,6326.41025,1577.259,3.197903014,1384.84725,3.141401873,9484.509,6263.7655,175.8,10.6,0.517460864,0.334766902,0.182693962
40124,F34,control,13,female,22.21,11.34,33.55,61.33,8571.515,5644.6525,1768.857,3.247692725,1506.0675,3.177844437,10291.98,6903.1965,195.1,20.8,0.5470406,0.362139247,0.184901353
40124,F34,control,18,female,12.55,4.05,16.6,42.34,10914.119,7172.436,2076.618,3.317356614,1800.33,3.255352118,14971.138,9993.248,96.6,10.7,0.392064242,0.296410014,0.095654228
40124,F34,control,21,male,18.95,7.24,26.19,54.5,8941.686,5918.209,1726.951,3.237280015,1505.64975,3.177723956,11304.913,7576.8245,188.6,11.3,0.480550459,0.347706422,0.132844037
40124,F34,control,22,male,18.52,8.24,26.76,54.87,8489.518,5581.4585,1920.771,3.28347559,1583.53925,3.199628832,9307.984,6171.41525,213.1,14.9,0.487698196,0.337525059,0.150173137
40124,F34,control,23,female,,,,,,,,,,,,,204,29.5,,,
40124,F34,control,24,male,18.38,7.35,25.73,57.06,8432.251,5662.43975,1722.707,3.236211418,1562.67875,3.193869706,10050.142,6740.113,208.7,24.3,0.450928847,0.32211707,0.128811777
40128,F34,control,2,female,18.61,6.59,25.2,65.88,8851.61,5984.365,2337.52,3.368755335,1956.5,3.291479852,9963.6,6784.9075,231.4,17.3,0.382513661,0.282483303,0.100030358
40128,F34,control,3,female,17.76,5,22.76,59.06,7180.64,4913.1675,1560.96,3.193391774,1425.3775,3.153929899,9015.83,6202.0075,208.1,12.1,0.385370809,0.300711141,0.084659668
40128,F34,control,4,male,15.84,4.7,20.54,58.58,6435,4381.1225,1727.04,3.237302396,1499.6425,3.17598774,8311.82,5711.235,239.5,9.1,0.350631615,0.270399454,0.080232161
40128,F34,control,5,male,19.37,5.72,25.09,62.98,7861.25,5344.15,1730.73,3.238229322,1569.2175,3.195683143,9308.1,6667.5775,238.8,25.3,0.398380438,0.307557955,0.090822483
40128,F34,control,6,male,20.7,7.2,27.9,65.31,11126.35,7482.57,2930.63,3.466960991,2454.545,3.389970999,12396.85,8971.2525,247.1,5.1,0.427193385,0.316949931,0.110243454
40128,F34,control,7,male,21.69,4.31,26,64.17,9016.94,5962.74,2108.27,3.323926229,1735.225,3.239355796,9772.03,7006.415,251.8,14.9,0.405173757,0.338008415,0.067165342
40128,F34,control,9,male,17.43,5.76,23.19,62.53,9226.73,6202.525,2288.57,3.359564201,1964.6,3.29327414,10226.96,7049.365,234.9,3.4,0.370861986,0.278746202,0.092115784
40128,F34,control,12,female,17.28,5,22.28,65.31,8719.95,5792.6475,2432.54,3.38605999,2014.2275,3.304108521,11563.48,7884.4775,258.4,7.7,0.341142245,0.26458429,0.076557954
40138,F34,control,1,female,15.18,5.59,20.77,52.75,7644.125,5104.3095,1922.531,3.283873351,1640.51175,3.214979345,8436.639,5605.40375,131.3,11.6,0.393744076,0.287772512,0.105971564
40138,F34,control,5,male,19.43,5.23,24.66,50.18,8667.601,5666.62175,2242.073,3.350649749,1916.19575,3.282439873,9909.241,6621.9555,197.6,13.3,0.491430849,0.387206058,0.104224791
40138,F34,control,7,male,17.86,6.82,24.68,59.31,10426.751,6833.9695,1710.2,3.233046902,1529.54725,3.184562898,12271.118,8263.67925,173.6,33.1,0.416118698,0.301129658,0.114989041
